fake,fake2,proj_id,title,budget,started_on,ends_on,summary,superv_id,ass_prog_id,ass_exec_id,ass_org_id
Experiment on,Quantum Mechanics,128,Experiment on Quantum Mechanics,968093.9,10/21/2019,11/27/2020,Fusce consequat. Nulla nisl. Nunc nisl.,652,230,64,82
Experiment on,Quantum Mechanics,129,Experiment on Quantum Mechanics,353013.8,1/10/2020,10/14/2021,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",128,110,16,49
Study on,Mechanical Engineering,130,Study on Mechanical Engineering,932226.71,9/9/2021,5/5/2023,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",725,237,50,15
Research on the field of,Mechanical Engineering,131,Research on the field of Mechanical Engineering,672648.47,8/29/2021,1/22/2025,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",189,80,56,84
Experiment on,Chamistry,132,Experiment on Chamistry,245737.4,1/24/2022,10/11/2024,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",356,77,47,18
Experiment on,Physics,133,Experiment on Physics,439465.07,1/27/2021,12/18/2022,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,580,14,24,60
Enquiry on,Chamistry,134,Enquiry on Chamistry,124419.34,4/19/2022,11/13/2023,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,682,287,8,41
Enquiry on,Computer Science,135,Enquiry on Computer Science,461017.92,11/16/2018,4/28/2022,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",205,192,26,47
Research on the field of,Computer Science,136,Research on the field of Computer Science,245912.22,1/9/2022,2/16/2025,Fusce consequat. Nulla nisl. Nunc nisl.,621,63,10,34
Study on,Physics,137,Study on Physics,800715.12,3/20/2020,7/7/2023,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,82,26,54,42
Experiment on,Physics,138,Experiment on Physics,877825.74,12/6/2018,5/25/2020,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",528,116,6,64
Enquiry on,Quantum Mechanics,139,Enquiry on Quantum Mechanics,294553.42,10/24/2020,2/19/2024,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",220,33,41,2
Study on,Mechanical Engineering,140,Study on Mechanical Engineering,413043.57,5/21/2022,10/24/2023,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,75,61,22,25
Study on,Physics,141,Study on Physics,389544.44,11/23/2020,5/11/2022,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",441,261,49,21
Enquiry on,Mechanical Engineering,142,Enquiry on Mechanical Engineering,499099.12,4/28/2022,6/5/2023,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",916,264,46,35
Enquiry on,Mechanical Engineering,143,Enquiry on Mechanical Engineering,503462.0,7/21/2019,4/7/2023,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",535,158,69,3
Enquiry on,Chamistry,144,Enquiry on Chamistry,681468.93,2/24/2019,2/25/2020,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,285,95,60,80
Enquiry on,Computer Science,145,Enquiry on Computer Science,689359.93,7/17/2020,12/5/2022,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",953,54,91,54
Experiment on,Electrical Engineering,146,Experiment on Electrical Engineering,846296.65,1/14/2022,8/17/2023,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",912,119,90,5
Experiment on,Mechanical Engineering,147,Experiment on Mechanical Engineering,837610.7,5/25/2020,11/30/2021,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",945,69,57,27
Enquiry on,Computer Science,148,Enquiry on Computer Science,614007.91,8/6/2021,5/18/2023,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",164,75,27,7
Experiment on,Physics,149,Experiment on Physics,810800.09,10/19/2018,10/31/2020,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",503,194,52,20
Research on the field of,Chamistry,150,Research on the field of Chamistry,123461.47,5/2/2020,7/28/2021,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",765,226,23,75
Experiment on,Computer Science,151,Experiment on Computer Science,770895.23,12/18/2021,10/5/2025,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",796,84,42,63
Experiment on,Computer Science,152,Experiment on Computer Science,352651.35,1/19/2020,4/8/2022,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",828,157,94,50
Enquiry on,Computer Science,153,Enquiry on Computer Science,583294.15,5/30/2022,12/30/2024,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",602,99,9,28
Study on,Chamistry,154,Study on Chamistry,393657.57,5/12/2020,1/28/2024,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",68,216,29,78
Research on the field of,Physics,155,Research on the field of Physics,495668.71,11/24/2020,9/18/2022,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",210,103,55,6
Study on,Computer Science,156,Study on Computer Science,585416.15,6/21/2020,6/29/2021,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",531,168,66,56
Research on the field of,Chamistry,157,Research on the field of Chamistry,273725.71,8/1/2019,8/26/2021,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",58,4,19,44
Study on,Mechanical Engineering,158,Study on Mechanical Engineering,474817.39,3/30/2019,2/6/2023,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",904,6,98,31
Experiment on,Physics,159,Experiment on Physics,815335.59,12/26/2018,5/9/2021,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",485,28,86,74
Experiment on,Computer Science,160,Experiment on Computer Science,141032.94,8/2/2020,1/21/2024,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",671,235,82,4
Experiment on,Mechanical Engineering,161,Experiment on Mechanical Engineering,237503.37,11/6/2018,9/1/2021,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",661,108,38,57
Enquiry on,Quantum Mechanics,162,Enquiry on Quantum Mechanics,871244.43,4/25/2020,6/10/2022,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",691,281,21,71
Research on the field of,Electrical Engineering,163,Research on the field of Electrical Engineering,596187.63,6/29/2021,2/3/2023,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",795,211,2,23
Experiment on,Computer Science,164,Experiment on Computer Science,969594.42,3/29/2022,8/10/2023,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,822,102,99,38
Research on the field of,Physics,165,Research on the field of Physics,804236.86,9/26/2020,10/11/2021,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",585,150,72,79
Study on,Mechanical Engineering,166,Study on Mechanical Engineering,961148.47,5/29/2022,10/22/2024,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",742,32,37,32
Research on the field of,Physics,167,Research on the field of Physics,527922.09,7/21/2021,6/15/2025,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,910,161,51,68
Research on the field of,Mechanical Engineering,168,Research on the field of Mechanical Engineering,232840.7,2/12/2020,8/24/2021,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",676,155,73,76
Enquiry on,Chamistry,169,Enquiry on Chamistry,816701.43,9/22/2021,9/28/2022,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",103,238,67,61
Experiment on,Mechanical Engineering,170,Experiment on Mechanical Engineering,856877.9,11/8/2021,3/9/2025,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",384,239,31,73
Research on the field of,Computer Science,171,Research on the field of Computer Science,632875.0,2/25/2021,1/3/2023,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",374,299,92,62
Experiment on,Electrical Engineering,172,Experiment on Electrical Engineering,780634.39,4/10/2020,7/25/2022,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",176,159,89,88
Experiment on,Electrical Engineering,173,Experiment on Electrical Engineering,519481.22,12/21/2018,4/3/2021,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,510,27,95,46
Experiment on,Computer Science,174,Experiment on Computer Science,528832.34,6/13/2019,3/27/2023,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",327,58,17,13
Enquiry on,Chamistry,175,Enquiry on Chamistry,979146.02,12/22/2018,5/6/2020,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",299,1,93,1
Enquiry on,Quantum Mechanics,176,Enquiry on Quantum Mechanics,729175.47,5/27/2021,6/15/2024,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",432,283,45,83
Study on,Computer Science,177,Study on Computer Science,584445.25,10/26/2020,2/28/2023,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",716,62,32,36
Study on,Computer Science,178,Study on Computer Science,732192.49,4/28/2022,9/29/2024,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,587,202,83,19
Research on the field of,Mechanical Engineering,179,Research on the field of Mechanical Engineering,919642.48,2/27/2021,7/4/2023,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",372,133,87,12
Research on the field of,Chamistry,180,Research on the field of Chamistry,347472.03,1/9/2022,8/15/2023,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",125,252,70,69
Enquiry on,Quantum Mechanics,181,Enquiry on Quantum Mechanics,451019.28,10/11/2018,6/15/2020,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",782,104,36,76
Research on the field of,Mechanical Engineering,182,Research on the field of Mechanical Engineering,869429.27,7/25/2020,7/27/2021,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",570,174,53,78
Enquiry on,Chamistry,183,Enquiry on Chamistry,373975.53,12/8/2019,7/4/2021,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",307,137,28,10
Enquiry on,Electrical Engineering,184,Enquiry on Electrical Engineering,803520.5,2/2/2022,2/24/2023,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",930,140,39,69
Enquiry on,Mechanical Engineering,185,Enquiry on Mechanical Engineering,834421.71,5/16/2022,9/4/2024,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",473,34,43,57
Research on the field of,Quantum Mechanics,186,Research on the field of Quantum Mechanics,554166.39,11/27/2020,7/22/2024,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",696,107,15,18
Enquiry on,Mechanical Engineering,187,Enquiry on Mechanical Engineering,193378.94,3/12/2019,1/26/2023,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",837,274,35,17
Research on the field of,Physics,188,Research on the field of Physics,968214.77,9/30/2020,2/22/2024,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",412,248,62,58
Research on the field of,Electrical Engineering,189,Research on the field of Electrical Engineering,493479.76,10/18/2021,11/28/2024,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",509,244,13,82
Research on the field of,Mechanical Engineering,190,Research on the field of Mechanical Engineering,941097.54,4/11/2020,1/26/2024,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,102,270,68,33
Research on the field of,Computer Science,191,Research on the field of Computer Science,148332.38,9/17/2019,4/26/2021,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",870,49,88,49
Research on the field of,Chamistry,192,Research on the field of Chamistry,353654.46,9/28/2018,1/20/2020,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",929,164,4,26
Enquiry on,Chamistry,193,Enquiry on Chamistry,675157.06,1/20/2022,4/13/2024,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",883,279,34,60
Study on,Electrical Engineering,194,Study on Electrical Engineering,103099.52,11/3/2021,9/12/2024,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",776,39,11,20
Study on,Computer Science,195,Study on Computer Science,210373.98,6/28/2020,4/15/2022,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",192,111,33,8
Enquiry on,Chamistry,196,Enquiry on Chamistry,343020.89,5/9/2021,1/14/2025,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",591,196,81,30
Enquiry on,Quantum Mechanics,197,Enquiry on Quantum Mechanics,785462.32,5/18/2021,6/10/2022,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",846,36,75,3
Experiment on,Physics,198,Experiment on Physics,120588.68,2/15/2022,11/27/2023,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",638,106,78,89
Experiment on,Physics,199,Experiment on Physics,609202.97,12/22/2020,10/28/2023,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",362,79,97,81
Experiment on,Chamistry,200,Experiment on Chamistry,308764.52,2/16/2021,7/4/2022,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",633,31,2,63
Enquiry on,Chamistry,201,Enquiry on Chamistry,136943.3,2/23/2021,3/3/2022,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",932,78,65,66
Research on the field of,Electrical Engineering,202,Research on the field of Electrical Engineering,921458.51,11/8/2018,11/23/2019,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",666,128,5,6
Research on the field of,Computer Science,203,Research on the field of Computer Science,691963.02,5/4/2021,1/25/2025,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",265,182,60,75
Enquiry on,Computer Science,204,Enquiry on Computer Science,734091.19,11/15/2019,6/5/2021,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",234,30,80,83
Study on,Electrical Engineering,205,Study on Electrical Engineering,526025.13,9/16/2021,11/3/2024,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",328,2,46,35
